SLANG_TERM	ANNOTATOR_CONFIDENCE	MOVIE_ID	SENT_ID	REGION	YEAR	DEFINITION_SENTENCE	DEFINITION_SOURCE_URL	LITERAL_PARAPHRASE_OF_SLANG
burn your tongue	1	3151540	693	US	2007			
mound	1	4744540	1106	US	2012			
quaaludes	2	54446	1497	US	2000	a type of sedative or tranquilizer drug, specifically the brand name for the drug methaqualone. in the context provided, it suggests that the speaker's wife has had an accident while under the influence of quaaludes.	https://www.urbandictionary.com/define.php?term=quaalude	tranquilizers
lovely	1	5905224	307	US	2012			
watch dog	2	5905224	200	US	2012	someone who is assigned to keep a lookout or guard over something or someone, often as a form of punishment or restriction.	https://www.urbandictionary.com/define.php?term=Watchdog	guardian
endless	1	5905224	163	US	2012			
pee	1	54446	1073	US	2000			
nice to meet you	1	3151540	1501	US	2007			
love me	1	5905224	1776	US	2012			
drunk	1	54446	493	US	2000			
right hand	1	5905224	128	US	2012			
long	1	5905224	592	US	2012			
air	1	3151540	1806	US	2007			
lady	1	54446	1583	US	2000			
barge	2	5905224	207	US	2012	to enter or intrude abruptly and without permission.		intrude
hold it	1	3967329	360	US	2010			
city	1	54446	1879	US	2000			
flying	1	54446	1360	US	2000			
fucking	1	54446	760	US	2000			
waiting	1	3967329	552	US	2010			
pale white and moon white	1	3151540	262	US	2007			
umbrella	1	4744540	444	US	2012			
yeah	1	5905224	278	US	2012			
half	1	4744540	1606	US	2012			
movement	3	3967329	786	US	2010	financial activity or transactions, specifically the movement of money in and out of accounts.	https://www.urbandictionary.com/define.php?term=Movement	transactions
with them	1	54446	527	US	2000			
dynamic	1	54446	852	US	2000			
get it done	1	4744540	496	US	2012			
heat	1	4744540	828	US	2012			
broke up	2	54446	1649	US	2000	to end a romantic relationship or break off a dating relationship.	https://www.urbandictionary.com/define.php?term=broke-up	ended
sixteen thousand	1	3151540	2084	US	2007			
pretty quick	1	4744540	838	US	2012			
cut	2	4744540	21	US	2012	to present oneself or dress stylishly and attractively.		dress
good stuff	1	54446	1323	US	2000			
back me up	1	3151540	1860	US	2007			
into	1	3151540	1361	US	2007			
fineman jam	1	3151540	781	US	2007			
ran	1	3151540	79	US	2007			
fuck	1	5905224	1672	US	2012			
huh	1	3967329	1387	US	2010			
quality	1	4744540	1007	US	2012			
on paper	2	4744540	196	US	2012	based on a written description of someone's qualifications or skills, they appear to be suitable for a particular job or task.		qualifications
go figure	2	4744540	1025	US	2012	an expression used to indicate that something is surprising or ironic, often with a sense of resignation or acceptance.	https://www.urbandictionary.com/define.php?term=go%20figure	surprising
cover	1	54446	1435	US	2000			
evil eye	2	5905224	1745	US	2012	to give someone a malevolent stare, usually indicating a curse or bad luck.	https://www.urbandictionary.com/define.php?term=Evil%20Eye	malocchio
good	1	3151540	1822	US	2007			
dump	1	5905224	1345	US	2012			
pikers	3	3967329	444	US	2010	a small-time player, a petty crook, a worthless person or something of little worth.		scrubs
fire	1	4744540	1523	US	2012			
bottom of my heart	1	3179568	704	UK	2006			
mate	2	3179568	1367	UK	2006	friend		friend
milky	2	3179568	1114	UK	2006			
tubs	1	3179568	1268	UK	2006			
cunt	2	3179568	2227	UK	2006	crude term for female genitalia, also used as an insult		horrible person
lad	2	3179568	1337	UK	2006	boy, young male		boy
cos	2	3179568	1582	UK	2006	because		because
on the mend	1	3472293	230	UK	2009			
dirty linen	1	3472293	77	UK	2009			
lad	3	3472293	514	UK	2009	young boy, young male		boy
fucker	2	3670999	215	UK	2010	literally someone who fucks ie has sex, in this context just a generic insult		person
hey	2	3670999	125	UK	2010	general greeting, hailing someone		hello
cab	1	3670999	444	UK	2010			
shah	1	3670999	750	UK	2010			
pity	1	3670999	678	UK	2010			
boot	1	5778643	282	UK	2013			
spirit	1	5778643	1189	UK	2013			
lad	3	5778643	323	UK	2013	young boy, young male		boy
kid	2	5778643	69	UK	2013	child, young person		child
getting chances	1	5778643	1802	UK	2013			
beauty	1	5778643	336	UK	2013			
evils of drink	1	6224678	562	UK	2014			
mum	1	6224678	341	UK	2014			
fucking	1	6224678	1017	UK	2014			
kid	2	6224678	642	UK	2014	child, young person		child
bother	1	6224678	1112	UK	2014			
foggy	1	6224678	248	UK	2014			
on the map	1	3967329	2132	US	2010			
business	1	5905224	1049	US	2012			
fuck	3	54446	1160	US	2000	an intensifier or exclamation to express strong emotions such as anger, frustration, surprise, or excitement.	https://greensdictofslang.com/entry/tc32pca	exclamation
this thing	1	3967329	399	US	2010			
dealing	1	54446	746	US	2000			
feet	1	5905224	825	US	2012			
above	1	54446	1657	US	2000			
sea	1	3151540	818	US	2007			
welcome	1	5905224	452	US	2012			
cool	2	54446	689	US	2000	fashionable, impressive, or socially desirable. it can also refer to a sense of composure or relaxedness.	https://greensdictofslang.com/entry/nfuz7hi	stylish
letting you in	1	3151540	2140	US	2007			
go back	1	3967329	2011	US	2010			
words	1	54446	1135	US	2000			
stay	1	54446	805	US	2000			
bo	1	4744540	1303	US	2012			
on tape	1	54446	1713	US	2000			
plummeting	2	3967329	1567	US	2010	fall or drop suddenly and steeply, often with great speed.		falling
perfection	1	3151540	1193	US	2007			
phase me out	2	4744540	446	US	2012	gradually reduce or eliminate someone's role or position, often with the intention of eventually getting rid of them altogether.	https://greensdictofslang.com/entry/qrzr2wa	eliminate
scouted traded	1	4744540	1133	US	2012			
wanna	1	4744540	843	US	2012			
nurse	1	3967329	945	US	2010			
electrical storm	1	54446	1608	US	2000			
personal secretary	1	5905224	325	US	2012			
hitch	2	4744540	1291	US	2012	a minor or temporary issue or problem, often related to a physical movement or action. in the context of sports or physical activities, it can refer to a momentary interruption or alteration in technique or form.		glitch
pint of blood	1	54446	1402	US	2000			
visualizing	1	4744540	1301	US	2012			
women	1	3151540	1436	US	2007			
gonna	1	3151540	1102	US	2007			
well	1	3151540	2010	US	2007			
four and a half	1	3967329	1926	US	2010			
blind as a slab of concrete	1	4744540	739	US	2012			
trashed	1	54446	632	US	2000			
seeing	1	3151540	1197	US	2007			
escape	1	5905224	1396	US	2012			
you find me	1	3967329	2322	US	2010			
baby girl	1	5905224	1197	US	2012			
place	1	3179568	1659	UK	2006			
