MOVIE_ID	SENT_ID	REGION	YEAR
54446	1733	US	2000
4744540	671	US	2012
3967329	1818	US	2010
5905224	324	US	2012
3151540	1256	US	2007
3967329	562	US	2010
3967329	1550	US	2010
54446	1516	US	2000
5905224	1413	US	2012
3967329	2130	US	2010
3151540	842	US	2007
3151540	1356	US	2007
3967329	811	US	2010
54446	902	US	2000
4744540	1209	US	2012
54446	1456	US	2000
4744540	398	US	2012
3967329	2269	US	2010
5905224	1648	US	2012
3151540	1279	US	2007
3967329	53	US	2010
54446	882	US	2000
3151540	1522	US	2007
5905224	1658	US	2012
4744540	495	US	2012
5905224	979	US	2012
4744540	476	US	2012
3967329	324	US	2010
4744540	686	US	2012
3151540	217	US	2007
3967329	1898	US	2010
3151540	1310	US	2007
3967329	2017	US	2010
3967329	1688	US	2010
5905224	795	US	2012
3179568	1330	UK	2006
3179568	2310	UK	2006
3179568	1827	UK	2006
3179568	34	UK	2006
3179568	1346	UK	2006
3179568	530	UK	2006
3179568	1259	UK	2006
3179568	504	UK	2006
3179568	751	UK	2006
3179568	41	UK	2006
3472293	30	UK	2009
3472293	919	UK	2009
3472293	633	UK	2009
3472293	78	UK	2009
3472293	1218	UK	2009
3472293	1074	UK	2009
3472293	400	UK	2009
3472293	697	UK	2009
3472293	74	UK	2009
3472293	202	UK	2009
3472293	133	UK	2009
3472293	354	UK	2009
3472293	702	UK	2009
3472293	282	UK	2009
3670999	1544	UK	2010
3670999	1376	UK	2010
3670999	1055	UK	2010
3670999	82	UK	2010
3670999	13	UK	2010
3670999	785	UK	2010
3670999	1774	UK	2010
3670999	767	UK	2010
3670999	997	UK	2010
3670999	40	UK	2010
3670999	1697	UK	2010
5778643	529	UK	2013
5778643	320	UK	2013
5778643	865	UK	2013
5778643	1617	UK	2013
5778643	32	UK	2013
5778643	1099	UK	2013
5778643	1019	UK	2013
5778643	1894	UK	2013
5778643	11	UK	2013
5778643	1272	UK	2013
5778643	707	UK	2013
6224678	992	UK	2014
6224678	233	UK	2014
6224678	821	UK	2014
6224678	507	UK	2014
6224678	845	UK	2014
6224678	445	UK	2014
6224678	747	UK	2014
6224678	1040	UK	2014
6224678	45	UK	2014
6224678	274	UK	2014
6224678	1255	UK	2014
3151540	2029	US	2007
4744540	425	US	2012
54446	164	US	2000
4744540	782	US	2012
3151540	854	US	2007
3967329	95	US	2010
5905224	865	US	2012
5905224	1574	US	2012
5905224	401	US	2012
3967329	1945	US	2010
5905224	698	US	2012
3151540	1930	US	2007
5905224	712	US	2012
3151540	1518	US	2007
54446	1842	US	2000
5905224	1279	US	2012
3967329	427	US	2010
54446	701	US	2000
54446	344	US	2000
3967329	1695	US	2010
5905224	1127	US	2012
3151540	1079	US	2007
5905224	106	US	2012
3967329	1396	US	2010
54446	507	US	2000
3151540	97	US	2007
54446	655	US	2000
4744540	390	US	2012
4744540	1766	US	2012
3151540	224	US	2007
5905224	418	US	2012
4744540	348	US	2012
54446	6	US	2000
3151540	601	US	2007
4744540	880	US	2012
5905224	280	US	2012
3967329	517	US	2010
4744540	1198	US	2012
4744540	377	US	2012
5905224	1254	US	2012
4744540	1401	US	2012
3967329	366	US	2010
3151540	1218	US	2007
3151540	207	US	2007
3967329	2189	US	2010
3967329	2324	US	2010
4744540	1018	US	2012
3179568	85	UK	2006
3179568	2249	UK	2006
3179568	943	UK	2006
3179568	2231	UK	2006
3179568	2123	UK	2006
3472293	874	UK	2009
3472293	419	UK	2009
3472293	1318	UK	2009
3472293	846	UK	2009
3472293	574	UK	2009
3472293	23	UK	2009
3472293	1229	UK	2009
3472293	1208	UK	2009
3472293	547	UK	2009
3670999	188	UK	2010
3670999	1749	UK	2010
3670999	228	UK	2010
3670999	86	UK	2010
3670999	246	UK	2010
3670999	770	UK	2010
3670999	1706	UK	2010
3670999	349	UK	2010
5778643	812	UK	2013
5778643	172	UK	2013
5778643	1098	UK	2013
5778643	1253	UK	2013
5778643	678	UK	2013
5778643	388	UK	2013
5778643	214	UK	2013
5778643	1745	UK	2013
5778643	751	UK	2013
6224678	1330	UK	2014
6224678	767	UK	2014
6224678	50	UK	2014
6224678	1067	UK	2014
6224678	812	UK	2014
6224678	1026	UK	2014
6224678	1032	UK	2014
6224678	673	UK	2014
6224678	1118	UK	2014
6224678	1353	UK	2014
6224678	1150	UK	2014
6224678	679	UK	2014
4744540	1134	US	2012
4744540	28	US	2012
3967329	907	US	2010
54446	1448	US	2000
3967329	1356	US	2010
54446	962	US	2000
54446	1020	US	2000
54446	1169	US	2000
3967329	1091	US	2010
5905224	1294	US	2012
54446	77	US	2000
5905224	826	US	2012
54446	1844	US	2000
54446	99	US	2000
54446	1609	US	2000
3151540	296	US	2007
3151540	1403	US	2007
5905224	931	US	2012
3151540	354	US	2007
5905224	1093	US	2012
4744540	776	US	2012
54446	1654	US	2000
5905224	1841	US	2012
4744540	304	US	2012
54446	1056	US	2000
3151540	258	US	2007
4744540	1605	US	2012
3151540	667	US	2007
5905224	1700	US	2012
4744540	1009	US	2012
5905224	454	US	2012
4744540	443	US	2012
3151540	957	US	2007
3967329	1490	US	2010
3151540	482	US	2007
3967329	1885	US	2010
3179568	294	UK	2006
3179568	2275	UK	2006
3179568	2338	UK	2006
3179568	643	UK	2006
3179568	2032	UK	2006
3472293	305	UK	2009
3472293	455	UK	2009
3472293	226	UK	2009
3472293	33	UK	2009
3472293	628	UK	2009
3472293	433	UK	2009
3472293	620	UK	2009
3472293	1068	UK	2009
3472293	870	UK	2009
3472293	55	UK	2009
3472293	232	UK	2009
3670999	1153	UK	2010
3670999	1371	UK	2010
3670999	1051	UK	2010
3670999	71	UK	2010
3670999	115	UK	2010
3670999	1058	UK	2010
3670999	1360	UK	2010
3670999	1474	UK	2010
3670999	1679	UK	2010
3670999	57	UK	2010
